player,hands,all-in_adj_bb,all-in_adj_bb_100,my_c_all-in_adj,vpip,pfr,call_any_pfr,3bet_pf,fold_to_3bet,4bet_pf,fold_to_4bet+,limp,total_af,cbet_f,cbet_t,cbet_r,fold_to_f_cbet,fold_to_t_cbet,fold_to_r_cbet,xr_flop,xr_turn,xr_river,fold_to_f_xr,fold_to_t_xr,fold_to_r_xr
TdragonJYP,1111,-184.16,-16.58,-46.04,26.48,15.0,22.16,6.11,62.32,4.48,37.5,7.21,1.34,40.68,33.33,51.94104895104895,43.28,50.0,47.36400357462019,7.69,11.54,0.0,40.0,42.11,50.0
pytyboy,1106,49.16,4.44,12.29,31.19,24.84,15.9,9.05,81.05,5.38,40.0,0.81,2.47,67.01,51.72,100.0,44.19,40.0,66.67,3.45,12.5,12.5,57.14,0.0,100.0
ryansharp97,1106,-86.4,-7.81,-21.6,24.11,19.42,14.09,9.83,62.34,12.33,36.36,0.0,1.94,59.15,50.0,75.0,25.0,18.75,16.67,9.68,9.52,28.57,0.0,33.33,50.0
Chipuala,1105,184.32,16.68,46.08,13.81,6.49,16.33,1.34,82.69,0.0,66.67,0.68,1.46,61.9,44.44,0.0,45.71,54.55,0.0,5.88,15.0,11.11,0.0,42.11,100.0
17GRom,1105,-178.68,-16.17,-44.67,31.69,25.28,16.94,14.67,64.52,12.71,53.85,0.83,2.36,55.0,75.0,100.0,17.39,50.0,50.0,17.39,13.04,0.0,50.0,66.67,50.0
advaration,1103,-40.24,-3.65,-10.06,20.78,15.49,12.96,4.17,86.42,5.0,40.0,0.16,1.57,47.14,46.67,50.0,29.73,30.0,66.67,2.17,0.0,0.0,50.0,0.0,50.0
lukas.bielak,1103,-73.48,-6.66,-18.37,50.0,8.79,50.82,3.32,80.21,0.0,66.67,37.91,0.78,43.75,20.0,51.94104895104895,29.61,50.72,53.33,7.81,4.17,3.57,75.0,42.11,100.0
mhishere27,1102,-336.36,-30.52,-84.09,30.96,25.8,17.03,10.63,65.05,4.21,40.0,0.0,1.81,49.12,33.33,100.0,28.26,28.57,60.0,11.11,10.0,11.11,33.33,50.0,0.0
sharman1956,1099,-401.52,-36.54,-100.38,34.89,21.66,30.46,10.07,72.16,2.13,53.85,0.69,2.16,75.58,55.88,42.86,41.76,38.46,72.73,11.67,10.34,0.0,66.67,80.0,50.0
Thomasss.xxX,1098,-230.88,-21.03,-57.72,38.99,15.11,39.6,1.82,68.25,9.84,40.0,14.57,1.06,32.81,12.5,51.94104895104895,35.19,40.0,62.5,10.53,8.57,7.14,50.0,100.0,50.0
