player,hands,all-in_adj_bb,all-in_adj_bb_100,my_c_all-in_adj,vpip,pfr,call_any_pfr,3bet_pf,fold_to_3bet,4bet_pf,fold_to_4bet+,limp,total_af,cbet_f,cbet_t,cbet_r,fold_to_f_cbet,fold_to_t_cbet,fold_to_r_cbet,xr_flop,xr_turn,xr_river,fold_to_f_xr,fold_to_t_xr,fold_to_r_xr
grajavasco,11276,577.28,5.12,144.32,20.99,16.19,12.06,8.09,78.24,9.0,48.86,0.79,2.02,76.23,58.75,39.51,31.76,38.83,64.71,5.67,9.6,2.83,32.0,50.0,100.0
LoLeBanny,11161,-828.96,-7.43,-207.24,20.48,17.23,9.85,9.16,77.56,6.33,55.06,0.16,2.46,64.41,55.02,32.84,46.64,49.23,66.67,7.64,2.14,5.26,36.84,40.0,44.44
soplak,11117,187.64,1.69,46.91,26.67,20.5,15.05,9.44,73.52,8.39,64.22,1.5,2.5,55.65,54.63,35.71,53.0,57.14,36.36,9.73,8.06,1.1,35.48,72.73,25.0
MauriFierro27,10946,2045.48,18.69,511.37,24.55,21.57,8.94,10.51,77.42,10.0,60.91,0.12,3.05,66.73,48.53,75.0,39.47,39.62,46.15,14.99,9.55,5.62,56.76,37.5,80.0
m8kid,10905,-1382.04,-12.67,-345.51,30.71,24.28,17.09,12.33,65.04,13.85,63.83,0.37,2.28,68.67,56.8,32.99,50.21,48.31,66.67,9.98,12.11,2.76,22.86,16.67,0.0
AAAcostA,10894,-144.84,-1.33,-36.21,20.39,16.9,9.6,6.88,81.07,6.54,63.89,0.1,2.25,70.71,45.76,38.1,45.95,63.08,50.0,5.23,5.1,4.88,48.57,28.57,66.67
MrSharkMr,10886,-248.0,-2.28,-62.0,17.04,14.61,6.92,7.7,82.39,5.99,65.33,0.21,2.38,57.43,58.09,53.33,45.6,52.83,38.46,3.23,2.52,3.33,25.0,25.0,33.33
vdmbb,10858,-175.88,-1.62,-43.97,22.64,17.81,12.92,6.61,76.82,7.82,63.38,0.13,1.93,52.97,55.38,35.29,44.82,50.59,75.0,10.17,9.38,1.12,39.13,55.56,100.0
bulldogKJ,10842,-271.6,-2.51,-67.9,25.53,20.79,11.94,10.57,83.19,7.91,72.03,0.0,2.44,65.91,56.65,60.42,45.7,32.14,44.44,9.73,7.19,1.14,50.0,25.0,75.0
Valod9bablo,10808,-447.2,-4.14,-111.8,23.09,18.88,11.09,9.95,77.97,7.16,74.07,0.59,2.32,66.14,58.82,51.92,48.2,41.43,53.85,6.65,10.32,1.2,46.43,50.0,66.67
DJNezz,10740,230.2,2.14,57.55,25.74,21.9,13.15,10.07,67.3,7.57,45.45,0.02,1.65,54.76,47.62,66.0,36.07,39.81,58.62,9.25,4.41,1.75,27.91,30.0,75.0
StarsKK,10736,6.96,0.06,1.74,19.57,15.98,9.17,8.87,77.27,8.09,69.57,0.81,2.13,59.05,59.54,38.1,33.33,47.89,85.71,7.42,5.95,4.55,46.67,100.0,50.0
SuitedPairs29,10629,197.12,1.85,49.28,30.2,21.82,21.96,9.28,66.24,6.7,59.41,0.51,2.41,67.72,49.38,53.33,44.47,51.61,40.0,9.15,4.88,6.84,45.24,58.82,100.0
POREZANIY,10613,987.64,9.31,246.91,19.95,16.33,11.25,7.94,72.2,5.01,71.43,0.57,1.92,51.18,62.03,55.81,50.66,38.71,60.0,5.65,9.93,1.79,41.38,36.36,0.0
iudicus,10559,579.92,5.49,144.98,28.55,22.92,15.22,12.85,70.43,9.13,51.54,0.64,2.27,57.88,42.53,53.85,51.63,38.75,38.46,14.99,13.44,6.59,24.49,28.57,33.33
bossofhell_lft,10543,-688.24,-6.53,-172.06,26.3,21.63,12.54,9.53,77.23,7.32,77.67,0.14,2.24,53.36,55.07,58.14,53.07,57.89,55.56,12.0,7.82,0.0,48.15,63.64,100.0
samonov44,10541,1234.68,11.71,308.67,21.64,18.6,9.14,9.56,78.11,7.28,55.13,0.29,1.97,46.83,54.38,69.05,42.13,43.14,66.67,6.64,6.94,5.05,52.94,14.29,0.0
raiseforfun99,10447,333.08,3.19,83.27,17.61,14.31,7.07,8.47,84.0,5.23,82.61,1.48,3.01,72.07,33.72,64.0,48.24,48.65,40.0,10.5,2.7,0.0,46.67,50.0,100.0
fishtank0,10383,288.24,2.78,72.06,27.86,21.89,15.03,9.98,75.81,9.59,53.13,0.57,1.86,58.45,31.13,48.48,46.34,48.11,64.29,9.82,10.62,5.83,33.33,70.0,60.0
tugushi,10271,339.92,3.31,84.98,21.42,17.6,9.97,8.52,78.42,6.41,59.3,0.68,2.09,64.57,47.84,37.25,49.6,42.59,71.43,9.54,7.14,5.62,31.25,35.71,
kert86,10228,317.72,3.11,79.43,21.92,17.6,11.58,6.43,78.66,6.64,60.0,0.85,1.93,59.82,47.34,64.86,48.36,36.23,35.0,4.42,4.03,1.28,45.16,60.0,50.0
Nearzzzz,10200,769.84,7.55,192.46,23.78,20.75,9.27,10.18,76.89,9.62,60.58,0.04,3.02,72.1,34.48,90.57,42.04,32.73,35.71,20.73,12.59,14.52,55.32,53.85,60.0
beprobelikem,10176,1499.44,14.74,374.86,19.21,14.41,12.35,6.23,82.08,6.35,52.08,0.18,1.99,46.75,61.9,51.22,48.91,40.85,50.0,5.28,11.92,9.46,36.84,50.0,33.33
123456789mcm,10170,-498.12,-4.9,-124.53,23.29,19.33,12.34,9.59,67.3,11.08,44.32,0.04,1.84,64.32,49.58,53.06,26.49,42.72,19.23,10.42,4.76,2.86,29.03,36.84,0.0
