all-in_adj_bb_100,vpip,pfr,call_any_pfr,3bet_pf,fold_to_3bet,4bet_pf,fold_to_4bet+,limp,total_af,cbet_f,cbet_t,cbet_r,fold_to_f_cbet,fold_to_t_cbet,fold_to_r_cbet,xr_flop,xr_turn,xr_river,fold_to_f_xr,fold_to_t_xr,fold_to_r_xr
-0.56,22.64,16.14,16.81,5.85,74.95,7.41,68.75,0.04,1.98,68.9,36.28,41.67,41.61,53.67,53.57,9.04,7.35,2.56,36.0,46.67,60.0
11.25,25.93,21.25,11.76,9.89,79.3,8.73,59.84,0.62,2.05,72.26,32.19,62.07,41.67,45.28,57.14,9.66,5.0,6.25,39.19,25.0,50.0
-4.44,19.94,15.63,11.7,6.68,76.29,7.27,59.81,0.36,2.04,51.91,60.77,43.75,39.35,42.86,57.69,10.57,5.71,1.75,51.61,30.77,100.0
12.83,28.16,21.17,17.63,9.74,67.59,11.14,53.01,1.31,2.05,76.78,47.06,68.18,38.46,50.75,56.52,3.54,9.9,4.03,44.09,36.84,66.67
7.12,24.97,21.12,10.45,11.81,75.36,10.77,66.15,0.49,2.96,68.49,50.13,70.15,38.5,42.86,36.36,11.14,9.58,1.2,45.31,57.14,50.0
-0.1,19.09,15.7,8.24,9.3,80.23,10.72,80.27,0.57,3.25,53.15,54.35,43.14,46.4,46.3,41.67,9.91,6.17,7.04,72.5,46.67,75.0
-3.17,25.39,18.09,16.52,6.66,71.98,9.87,50.41,2.39,2.3,70.28,54.41,56.94,48.47,35.59,61.29,8.39,3.17,4.03,48.15,40.91,100.0
-11.92,19.37,11.86,16.86,3.68,75.87,9.09,56.79,1.57,1.65,61.84,55.8,50.0,40.58,36.21,40.63,3.19,8.39,9.15,22.22,47.37,83.33
8.13,19.22,15.98,8.67,7.66,82.56,8.21,57.61,0.17,2.37,58.22,45.56,70.45,38.82,53.01,62.5,9.24,9.43,5.1,35.9,47.37,100.0
-5.78,22.64,18.49,10.64,9.7,74.69,8.79,56.39,1.1,2.31,68.04,54.3,50.0,43.69,39.0,51.52,10.0,10.0,3.47,29.41,57.14,50.0
11.39,20.87,17.12,10.23,7.81,78.66,5.86,53.13,0.49,2.07,58.87,53.26,40.63,45.26,36.27,26.32,10.38,15.55,11.02,29.03,40.0,60.0
1.5,24.88,21.17,10.65,9.7,78.16,8.91,60.84,0.08,2.01,74.12,44.15,53.93,37.73,41.98,38.46,9.93,4.85,4.86,37.89,33.33,0.0
-12.45,27.52,20.64,20.25,10.3,60.19,9.4,43.71,0.17,2.57,76.44,57.6,44.95,51.49,32.33,54.84,13.41,8.1,1.94,25.81,25.0,27.27
-2.01,22.42,18.6,10.14,7.44,80.16,7.32,64.29,0.35,2.14,59.48,42.18,40.91,49.22,45.98,61.9,8.81,5.67,2.83,47.83,25.0,66.67
-6.66,37.31,26.11,29.67,9.56,56.17,6.14,58.17,0.41,2.22,57.5,69.76,56.18,50.46,42.04,50.0,6.32,6.48,2.44,25.86,37.84,55.56
-4.13,24.6,19.83,12.25,8.56,77.16,9.1,58.97,0.6,2.25,49.04,59.13,38.18,47.96,42.59,35.0,12.76,19.83,5.79,48.48,71.43,60.0
-2.72,21.4,15.06,15.12,6.56,72.41,8.18,60.67,1.93,1.86,57.51,55.37,32.0,50.8,40.18,67.74,9.01,7.22,4.2,25.0,28.57,0.0
-0.81,27.4,22.0,14.67,10.35,67.34,11.85,55.88,0.64,1.95,69.42,37.32,78.87,35.82,22.98,47.17,13.63,9.0,4.76,19.1,20.0,33.33
-10.68,25.66,18.0,19.53,7.34,69.59,5.34,61.63,0.38,1.84,45.59,30.67,39.13,46.97,44.76,50.0,10.71,6.64,3.85,47.06,50.0,16.67
9.61,23.63,18.66,14.0,9.06,73.01,8.58,60.83,0.61,1.78,40.99,54.92,64.1,52.2,46.39,59.09,8.6,5.98,10.49,38.46,44.44,75.0
1.91,23.77,20.17,11.03,10.65,70.26,11.4,59.74,0.28,2.9,54.37,62.89,46.48,44.93,43.75,36.0,11.97,10.09,6.78,33.33,52.63,77.78
12.89,23.14,20.24,8.58,10.95,76.07,10.69,59.87,0.03,2.07,74.5,31.4,69.86,38.6,39.02,38.1,13.44,8.03,7.74,32.56,50.0,80.0
8.91,24.45,20.17,11.94,9.31,74.23,9.49,58.27,0.2,1.94,50.9,57.68,46.03,35.43,32.41,55.17,16.19,11.01,4.51,20.59,29.17,100.0
-3.1,26.54,21.3,13.81,8.66,79.32,5.76,61.4,0.05,2.9,66.16,54.27,56.16,55.03,49.45,42.11,8.81,6.91,3.79,55.56,53.85,100.0
20.54,24.39,20.06,12.19,7.15,76.89,6.51,54.84,0.13,2.25,42.14,57.69,47.06,41.42,41.75,50.0,8.26,7.53,2.38,44.44,50.0,33.33
-2.04,26.43,20.66,15.63,8.46,75.43,5.98,51.82,0.19,1.57,35.9,58.64,64.29,40.12,54.1,51.85,7.86,3.24,6.8,44.0,42.11,71.43
3.52,28.37,19.99,21.77,7.77,69.37,3.88,72.81,0.53,2.42,55.87,76.07,43.81,50.14,39.75,58.82,10.14,5.4,6.98,42.31,54.55,33.33
